ID,Name,Abbreviation,Conference,Division,ESPN_ID
1,Arizona Cardinals,ARI,NFC,West,22
2,Atlanta Falcons,ATL,NFC,South,1
3,Baltimore Ravens,BAL,AFC,North,33
4,Buffalo Bills,BUF,AFC,East,2
5,Carolina Panthers,CAR,NFC,South,29
6,Chicago Bears,CHI,NFC,North,3
7,Cincinnati Bengals,CIN,AFC,North,4
8,Cleveland Browns,CLE,AFC,North,5
9,Dallas Cowboys,DAL,NFC,East,6
10,Denver Broncos,DEN,AFC,West,7
11,Detroit Lions,DET,NFC,North,8
12,Green Bay Packers,GB,NFC,North,9
13,Houston Texans,HOU,AFC,South,34
14,Indianapolis Colts,IND,AFC,South,11
15,Jacksonville Jaguars,JAX,AFC,South,30
16,Kansas City Chiefs,KC,AFC,West,12
17,Miami Dolphins,MIA,AFC,East,15
18,Minnesota Vikings,MIN,NFC,North,16
19,New England Patriots,NE,AFC,East,17
20,New Orleans Saints,NO,NFC,South,18
21,NY Giants,NYG,NFC,East,19
22,NY Jets,NYJ,AFC,East,20
23,Oakland Raiders,OAK,AFC,West,13
24,Philadelphia Eagles,PHI,NFC,East,21
25,Pittsburgh Steelers,PIT,AFC,North,23
26,Los Angeles Chargers,LAC,AFC,West,24
27,San Francisco 49ers,SF,NFC,West,25
28,Seattle Seahawks,SEA,NFC,West,26
29,Los Angeles Rams,LAR,NFC,West,14
30,Tampa Bay Buccaneers,TB,NFC,South,27
31,Tennessee Titans,TEN,AFC,South,10
32,Washington Redskins,WAS,NFC,East,28
33,Free Agent,FA,NA,NA,0